id_mun;f10;f11;f198;f199;f200;f13;f14;f318;f320;f321;f167;f27;f28;f29;f171;f69;f72;f73;f378;f379;f377;f291;f225;f284;f227;f286;f308;f250;f119;f122;mun
250019;11532.0;2774.0;191.0;19130.9;114.8;0.0;0.0;99.0;84.0;183.0;18.0;121.0;35.0;9.0;183.0;149.0;9.0;25.0;44.0;35.0;79.0;35.0;28.0;0.0;0.0;28.0;10.1;62.0;28.0;90.0;Abella de la Conca
080018;23956.0;5349.0;7309.0;76073.2;562.9;0.0;94.0;6325.0;6213.0;12538.0;2236.0;8365.0;1729.0;208.0;12538.0;8611.0;2625.0;1302.0;3057.0;2519.0;5576.0;638.0;2817.0;2928.0;1030.0;6775.0;650.3;4450.0;503.0;5222.0;Abrera
250024;15089.0;4259.0;1232.0;30974.0;139.4;0.0;2.0;314.0;266.0;580.0;51.0;355.0;127.0;47.0;580.0;462.0;46.0;72.0;154.0;116.0;270.0;78.0;146.0;0.0;0.0;146.0;15.5;259.0;;713.0;Àger
250030;19767.0;5074.0;4388.0;44532.4;387.4;0.0;3.0;2710.0;2701.0;5411.0;837.0;3485.0;829.0;260.0;5411.0;3924.0;482.0;1005.0;1357.0;984.0;2341.0;489.0;1026.0;636.0;0.0;1662.0;256.8;2040.0;;2829.0;Agramunt
080023;20527.0;6078.0;79.0;54835.4;279.7;0.0;0.0;148.0;134.0;282.0;54.0;177.0;41.0;10.0;282.0;262.0;11.0;9.0;73.0;57.0;130.0;34.0;20.0;0.0;0.0;20.0;11.9;163.0;;163.0;Aguilar de Segarra
170010;24994.0;7687.0;752.0;36949.5;258.6;0.0;1.0;431.0;432.0;863.0;135.0;545.0;135.0;48.0;863.0;617.0;87.0;159.0;195.0;172.0;367.0;73.0;124.0;0.0;0.0;124.0;35.2;324.0;146.0;514.0;Agullana
080142;22638.0;5495.0;1918.0;53413.5;464.7;0.0;2.0;1221.0;1291.0;2512.0;322.0;1625.0;439.0;126.0;2512.0;2022.0;299.0;191.0;594.0;513.0;1107.0;198.0;370.0;129.0;0.0;499.0;112.8;930.0;;1338.0;Aiguafreda
430017;19104.0;4662.0;1552.0;26355.0;218.7;0.0;0.0;483.0;447.0;930.0;127.0;582.0;184.0;37.0;930.0;714.0;121.0;95.0;201.0;159.0;360.0;115.0;67.0;61.0;0.0;128.0;70.3;355.0;380.0;854.0;Aiguamúrcia
170025;27407.0;7175.0;573.0;84914.5;560.4;0.0;1.0;385.0;380.0;765.0;139.0;511.0;104.0;11.0;765.0;662.0;62.0;41.0;196.0;173.0;369.0;115.0;943.0;455.0;0.0;1398.0;18.8;256.0;;269.0;Aiguaviva
250387;14731.0;4275.0;1432.0;35011.9;231.1;0.0;0.0;1338.0;1229.0;2567.0;403.0;1577.0;447.0;140.0;2567.0;1574.0;190.0;803.0;539.0;308.0;847.0;255.0;249.0;167.0;0.0;416.0;184.6;832.0;129.0;1069.0;Aitona
250045;19723.0;5278.0;752.0;38012.0;226.1;0.0;1.0;412.0;399.0;811.0;106.0;536.0;141.0;28.0;811.0;600.0;67.0;144.0;198.0;156.0;354.0;80.0;129.0;155.0;0.0;284.0;21.8;281.0;;419.0;Alamús, els
250058;20146.0;5981.0;464.0;31601.3;126.4;0.0;0.0;158.0;162.0;320.0;40.0;180.0;83.0;17.0;320.0;254.0;35.0;31.0;53.0;40.0;93.0;31.0;12.0;0.0;0.0;12.0;9.0;132.0;120.0;299.0;Alàs i Cerc
250061;12153.0;3227.0;365.0;28041.1;252.4;0.0;0.0;189.0;172.0;361.0;27.0;224.0;89.0;21.0;361.0;316.0;36.0;9.0;91.0;62.0;153.0;61.0;29.0;0.0;0.0;29.0;10.8;152.0;53.0;240.0;Albagés, l'
170031;18351.0;5163.0;193.0;40290.2;253.8;0.0;0.0;79.0;76.0;155.0;37.0;93.0;23.0;2.0;155.0;116.0;18.0;21.0;33.0;24.0;57.0;16.0;27.0;0.0;0.0;27.0;11.5;49.0;37.0;99.0;Albanyà
250077;17423.0;4094.0;1505.0;46779.4;201.2;0.0;1.0;1142.0;1094.0;2236.0;367.0;1595.0;221.0;53.0;2236.0;1544.0;179.0;513.0;539.0;419.0;958.0;170.0;122.0;136.0;0.0;258.0;92.6;816.0;;907.0;Albatàrrec
250083;17222.0;4279.0;1037.0;41176.5;226.5;0.0;0.0;848.0;713.0;1561.0;212.0;983.0;299.0;67.0;1561.0;1242.0;46.0;273.0;399.0;251.0;650.0;194.0;130.0;0.0;0.0;130.0;56.0;639.0;;1082.0;Albesa
250096;15906.0;4010.0;728.0;29783.0;208.5;0.0;6.0;378.0;366.0;744.0;101.0;415.0;183.0;45.0;744.0;648.0;47.0;49.0;153.0;120.0;273.0;68.0;88.0;0.0;0.0;88.0;31.5;313.0;97.0;490.0;Albi, l'
430022;17705.0;3976.0;1672.0;57703.9;438.0;0.0;0.0;1273.0;1195.0;2468.0;356.0;1630.0;429.0;53.0;2468.0;1781.0;450.0;237.0;510.0;430.0;940.0;154.0;177.0;0.0;0.0;177.0;196.4;899.0;617.0;1770.0;Albinyana
430038;24345.0;5957.0;318.0;80050.3;469.6;0.0;0.0;272.0;228.0;500.0;106.0;324.0;62.0;8.0;500.0;385.0;76.0;39.0;124.0;95.0;219.0;38.0;16.0;0.0;0.0;16.0;22.2;160.0;76.0;253.0;Albiol, l'
170046;23393.0;6527.0;739.0;60894.5;322.7;0.0;0.0;391.0;368.0;759.0;107.0;504.0;121.0;27.0;759.0;581.0;47.0;131.0;169.0;147.0;316.0;88.0;58.0;0.0;0.0;58.0;36.2;273.0;156.0;464.0;Albons
430043;15317.0;4397.0;12663.0;31509.3;272.2;0.0;8.0;4782.0;4652.0;9434.0;1307.0;6109.0;1648.0;370.0;9434.0;6544.0;970.0;1920.0;1809.0;1492.0;3301.0;864.0;851.0;240.0;0.0;1091.0;496.8;4084.0;2099.0;7363.0;Alcanar
250100;14408.0;3747.0;196.0;31867.3;127.5;0.0;0.0;121.0;117.0;238.0;32.0;142.0;50.0;14.0;238.0;227.0;6.0;5.0;57.0;44.0;101.0;36.0;12.0;0.0;0.0;12.0;8.4;89.0;28.0;136.0;Alcanó
250117;16312.0;3982.0;7889.0;31788.3;298.8;0.0;1.0;5096.0;4611.0;9707.0;1806.0;6725.0;964.0;212.0;9707.0;6054.0;766.0;2887.0;2521.0;1771.0;4292.0;834.0;1603.0;763.0;0.0;2366.0;685.7;3318.0;;4329.0;Alcarràs
250122;18807.0;4098.0;2519.0;35934.1;233.6;0.0;0.0;1805.0;1630.0;3435.0;600.0;2381.0;389.0;65.0;3435.0;2557.0;356.0;522.0;859.0;686.0;1545.0;236.0;756.0;254.0;0.0;1010.0;181.3;1224.0;222.0;1553.0;Alcoletge
430056;19932.0;4827.0;3372.0;68585.1;397.8;0.0;7.0;2555.0;2589.0;5144.0;865.0;3359.0;788.0;132.0;5144.0;3679.0;807.0;658.0;1175.0;956.0;2131.0;370.0;749.0;411.0;0.0;1160.0;343.5;1988.0;220.0;2479.0;Alcover
439044;15062.0;3824.0;4287.0;33497.3;201.0;0.0;0.0;2197.0;1950.0;4147.0;599.0;2646.0;716.0;186.0;4147.0;3092.0;249.0;806.0;988.0;691.0;1679.0;392.0;672.0;0.0;283.0;955.0;233.2;1631.0;111.0;1893.0;Aldea, l'
430069;15965.0;3928.0;743.0;24526.2;176.6;0.0;0.0;457.0;448.0;905.0;101.0;548.0;201.0;55.0;905.0;724.0;55.0;126.0;185.0;138.0;323.0;55.0;85.0;0.0;0.0;85.0;45.4;342.0;123.0;529.0;Aldover
430075;18647.0;4771.0;766.0;29228.5;204.6;0.0;0.0;458.0;435.0;893.0;132.0;608.0;121.0;32.0;893.0;701.0;73.0;119.0;211.0;174.0;385.0;69.0;28.0;0.0;0.0;28.0;45.2;352.0;231.0;637.0;Aleixar, l'
080039;38495.0;14253.0;5615.0;140485.8;883.6;0.0;8.0;4838.0;5066.0;9904.0;1588.0;6227.0;1753.0;336.0;9904.0;7362.0;1184.0;1358.0;2045.0;1976.0;4021.0;1188.0;1009.0;476.0;0.0;1485.0;292.7;3324.0;178.0;3872.0;Alella
430081;12637.0;4154.0;568.0;28137.3;211.0;0.0;0.0;201.0;175.0;376.0;33.0;228.0;90.0;25.0;376.0;311.0;31.0;34.0;86.0;53.0;139.0;45.0;27.0;0.0;0.0;27.0;23.3;161.0;43.0;234.0;Alfara de Carles
