codSubasta;aut_Fax;aut_Correo electrónico;Tipo de subasta;aut_Dirección;aut_Código;descripcion;adm_NIF;Identificador;expediente;aut_Teléfono;Forma adjudicación;Valor subasta;Lotes;Tramos entre pujas;Fecha de conclusión;adm_Nombre;Tasación;adm_Localidad;estado;autoridad;Importe del depósito;adm_Provincia;Puja mínima;Scrap;Anuncio BOE;Fecha de inicio;aut_Descripción;adm_Dirección;Cantidad reclamada;link;
SUBASTA SUB-JA-2016-3971;972219577;-;JUDICIAL EN VIA DE APREMIO;AV RAMON FOLCH 4-6 4-6   , 17001 GIRONA;1707942003;C. Doctor Fleming 9 2º 3ª DE Banyole;;SUB-JA-2016-39710;1578/13;972181718;;308.183,21 €;Sin lotes;Sin tramos;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;No consta;;Celebrándose;JUZGADO 1ª INSTANCIA 3 - GIRONA;15.409,16 €;;Sin puja mínima;True;BOE-B-2019-14859;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INSTANCIA 3;;185.889,15 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2016-39710&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-12407;972942379;scpe.social.contencios.girona@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;PZ JOSEP MARIA LIDON 1 4-6   , 17001 GIRONA;1707944001;VEHICULO MARCA NISSAN MODELO CABSTA;;SUB-JA-2019-124078;0024/18;972942545;;2.700,00 €;Sin lotes;Sin tramos;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;2.700,00 €;;Celebrándose;JUZGADO SOCIAL 1 - GIRONA;135,00 €;;Sin puja mínima;True;BOE-B-2019-15063;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO SOCIAL 1;;18.625,10 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-124078&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-123065;972348295;scpe.Blanes@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;CL TER 51 51   , 17300 BLANES;1702341001;Subasta con varios lotes. Lote 1: Vivienda en calle Sant Vicenç Ferrer nº 35 Escalera B, 1º 1ª de Blanes Lote 2: Plaza de garage nº 8, planta sótano de edificio con frente  calle Sant Vicenç Ferrer de Blane;;SUB-JA-2019-123065;2691/18;972348291;Separada para cada lote;Ver valor de subasta en cada lote (los lotes se subastan de forma independiente);2;Ver tramos de cada lote (adjudicación independiente);29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;Ver valor de tasación en cada lote (los lotes se subastan de forma independiente);;Celebrándose;JUZGADO 1ª INST E INSTRUCC. 1 - BLANES;Ver importe de consignación de cada lote (adjudicación independiente);;Ver puja mínima de cada lote (adjudicación independiente);True;BOE-B-2019-14823;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INST E INSTRUCC. 1;;262.496,47 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-123065&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-12244;935542517;civil7.badalona@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;CL FRANCESC LAIRET 101 101   , 08910 BADALONA;0801542007;Datos registrales: Finca 3024 de ALP, insctita en el registro propiedad Puigcerdà, Tomo 601, libro 39, folio 29. Finca urbana: entidad nº64 de edificio "Orbis Holidays" compuesto de dos cuerpos, letras A y B sito en Super Molina municipio de Alp: cuarto trasero en planta 2ª alta, cuerpo B, de unos 13 metros cuadrados aprox. Linda Norte, entidad nº65 de la misma planta,  Suy y Este vuelo de terreno común, y Oeste, escalera y pasillo de la planta en que està situado, cuota:  10 centèsimes por ciento (0.10%), respecto del total del inmueble que es finca nº2123, al folio 37 del libro 38º de Alp, tomo 600 del archivo. La finca no està coordinada gráficamente en el catastro;;SUB-JA-2019-122445;1037/11;935542513;;8.413,08 €;Sin lotes;168,26 €;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;8.413,08 €;;Celebrándose;JUZGADO 1ª INSTANCIA 7 - BADALONA;420,65 €;;Sin puja mínima;True;BOE-B-2019-14807;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INSTANCIA 7;;12.976,11 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-122445&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-11919;972943503;mixt3.figueres@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;CL ARNERA 7 7   , 17600 FIGUERES;1706641003;URBANA.- ENTIDAD DIECIOCHO.- PISO PRIMERO NÚMERO NUEVE sito en la primera planta alta del edificio sito en Roses, calle de la Barca esquina a la Avenida de la Cuana, número dieciocho;;SUB-JA-2019-119197;0555/13;972943513;;45.240,00 €;Sin lotes;Sin tramos;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;No consta;;Celebrándose;JUZGADO 1ª INST E INSTRUCC. 3 - FIGUERES;2.262,00 €;;Sin puja mínima;True;BOE-B-2019-14850;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INST E INSTRUCC. 3;;11.143,06 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-119197&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-11918;982973002;mixt4.santacolomadefarners@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;CL JACINTO VERDAGUER 4 4   , 17430 SANTA COLOMA DE FARNERS;1718041004;SPD;;SUB-JA-2019-119182;0792/14;982973001;;503.359,02 €;Sin lotes;10.067,18 €;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;No consta;;Celebrándose;JUZGADO 1ª INST E INSTRUCC. 4 - SANTA COLOMA DE FARNERS;25.167,95 €;;Sin puja mínima;True;BOE-B-2019-14964;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INST E INSTRUCC. 4;;368.112,29 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-119182&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-12230;972943503;mixt3.fgr@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;CL ARNERA 7 7   , 17600 FIGUERES;1706641003;Registral 12469, tomo 2758, libro 346, folio 7, inscrita en el registro de la Propiedad de Figuere;;SUB-JA-2019-122303;0838/10;972943513;;521.503,00 €;Sin lotes;Sin tramos;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;No consta;;Celebrándose;JUZGADO 1ª INST E INSTRUCC. 3 - FIGUERES;26.075,15 €;;Sin puja mínima;True;BOE-B-2019-14851;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INST E INSTRUCC. 3;;185.559,29 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-122303&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-12106;972181795;instancia1.girona@gencat.cat;JUDICIAL EN VIA DE APREMIO;AV RAMON FOLCH 4-6 4-6   , 17001 GIRONA;1707942001;PARCELA DE TERRENO SITO EN LLAGOSTER;;SUB-JA-2019-121062;4019/18;972181711;;100.000,00 €;Sin lotes;Sin tramos;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;No consta;;Celebrándose;JUZGADO 1ª INSTANCIA 1 - GIRONA;5.000,00 €;;Sin puja mínima;True;BOE-B-2019-14860;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INSTANCIA 1;;50.000,00 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-121062&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-104023;972642582;mixte2.labisbal@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;CL TEATRE VELL 12 12   , 17100 BISBAL;1702241002;Subasta con varios lotes. Lote 1: Finca registral núm. 26.956-Palafrugell Lote 2: Finca registral núm. 26.958-Palafrugell Lote 3: Finca registral núm. 26.959-Palafrugel;;SUB-JA-2018-104023;0092/12;972946244;Separada para cada lote;Ver valor de subasta en cada lote (los lotes se subastan de forma independiente);3;Ver tramos de cada lote (adjudicación independiente);29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;Ver valor de tasación en cada lote (los lotes se subastan de forma independiente);;Celebrándose;JUZGADO 1ª INST E INSTRUCC. 2 - BISBAL;Ver importe de consignación de cada lote (adjudicación independiente);;Ver puja mínima de cada lote (adjudicación independiente);True;BOE-B-2019-14822;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INST E INSTRUCC. 2;;406.499,61 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-104023&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2019-12226;972181792;instancia5.girona@xij.gencat.cat;JUDICIAL EN VIA DE APREMIO;AV RAMON FOLCH 4-6 4-6   , 17001 GIRONA;1707942005;PIEZA DE TIERRA SOLAR EN EL MUNICIPIO DE PORQUERES  FINCA  1505  R. PROPIEDAD BANYOLE;;SUB-JA-2019-122264;0714/17;972181715;;220.002,36 €;Sin lotes;Sin tramos;29-04-2019 18:00:00 CET  (ISO: 2019-04-29T18:00:00+02:00);;No consta;;Celebrándose;JUZGADO 1ª INSTANCIA 5 - GIRONA;11.000,11 €;;Sin puja mínima;True;BOE-B-2019-14858;09-04-2019 18:00:00 CET  (ISO: 2019-04-09T18:00:00+02:00);JUZGADO 1ª INSTANCIA 5;;73.121,17 €;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2019-122264&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
