codSubasta;lote;Valor de tasación;Fecha de matriculación;Visitable;Inscripción registral;Depósito;Código Postal;Situación posesoria;Número de bastidor;Matrícula;Marca;IDUFIR;numBienes;Tramos entre pujas;Provincia;Descripción;Modelo;Referencia catastral;Importe del depósito;Puja mínima;Dirección;Título jurídico;Vivienda habitual;Valor Subasta;Localidad;Información adicional;Cargas;
SUBASTA SUB-JA-2016-3971;Lote 1;;;No consta;;;17820;No consta;;;;;;;Gerona;C. Doctor Fleming 9 2º 3ª DE Banyoles;;0825101DG8602N0031BT;;;C. Doctor Fleming 9 2º 3ª DE Banyoles;;;;BANYOLES;;;
SUBASTA SUB-JA-2019-12407;Lote 1;;2004-07-16;No consta;;EL VEHICULO SE ENCUENTRA PRECINTADO EN PARATGE PUIG RUMÍ Nº 11 DE PALAFRUGELL (GIRONA);;;VWASDFTL043797593;5133CYH;NISSAN;;;;;VEHICULO FURGÓN MARCA NISSAN MODELO CABSTAR ;CABSTAR;;;;;;;;;;SEGÚN EL ARTÍCULO 668.2 PARRAFO SEGUNDO SE ENTENDERÁ QUE TODO LICITADOR ACEPTA COMO BASTANTE LA TITULACIÓN EXIXTENTE EN EL PRCEDIMIENTO DE EJECUCIÓN O ASUME SU INEXISTENCIA, ASÍ COMO LAS CONSECUENCIAS DE QUE SUS PUJAS NO SUPEREN LOS PORCENTAJES DEL TIPO DE SUBASTA ESTABLECIDO EN EL ARTÍCULO 670. ADEMÁS SE SEÑALARÁ QUE LAS CARGAS, GRAVÁMENES Y ASIENTOS ANTERIORES AL CRÉDITO DEL ACTOR, CONTINUARAN SUBSISTENTES Y QUE, POR EL SOLO ECHO DE PARTICIPAR EN LA SUBASTA, EL LICITADOR LOS ADMITE..;
SUBASTA SUB-JA-2019-123065;Lote 1;288.934,20 €;;No consta;;;17300;No consta;;;;;1;5.778,68 €;Gerona;Calle Sant Viceç Ferrer nº 35 Escalera B 1º 1ª de Blanes;;1636302DG8113N0048TG;14.446,71 €;Sin puja mínima;c/ Sant Vicenç Ferrer 35 Esc B 1º 1ª;;;288.934,20 €;Blanes;;ANEXO SUBASTA;
SUBASTA SUB-JA-2019-123065;Lote 2;17.400,00 €;;No consta;;;17300;No consta;;;;;1;348,00 €;Gerona;Sótano en edificio con frente calle Sant Vicenç Ferrer 35 de Blanes;;1636302DG8113N0008MP;870,00 €;Sin puja mínima;c/ Vicenç Ferrer 35 planta sótano;;;17.400,00 €;Blanes;;ANEXO SUBASTA;
SUBASTA SUB-JA-2019-12244;Lote 1;;;No consta;;;17538;No consta;;;;17005000028597;;;Gerona;Finca 3024 de Alp (Gerona) inscrita en el registro de la propiedad de Puigcerdà, tomo 601, libro 39, folio 29.;;2581205DG1828S0073IP;;;entidad nº64 edificio Orbis Holidays;;;;Alp;;Según certificación.;
SUBASTA SUB-JA-2019-11919;Lote 1;;;Sí;Consta inscrita en el Registro de la Propiedad de Roses núm. 1, en el tomo 2679, libro 357, folio 136, y la donación, al tomo 2995, libro 593 de Roses, folio 215. ;;17480;No consta;;;;17019000289155;;;Gerona;URBANA.- ENTIDAD DIECIOCHO.- PISO PRIMERO NÚMERO NUEVE sito en la primera planta alta del edificio sito en Roses, calle de la Barca esquina a la Avenida de la Cuana, número dieciocho. Tiene una superficie de TREINTA Y DOS metros, SIETE decímetros cuadrados. ;;5186601/EG1758N/0034/AK;;;C/ de la Barca esquina a la Avenida de la Cuana, 18 1 9;;No;;ROSES;Finca Registral número 24885 de Roses;;
SUBASTA SUB-JA-2019-11918;Lote 1;;;No consta;;;17410;No consta;;;;;;;Gerona;SEGUN PDF;;8143201/DG7384S/0001/HI;;;Calle Roure, núm. 40-42;;Sí;;SILS;;;
SUBASTA SUB-JA-2019-12230;Lote 1;;;Sí;;;17600;No consta;;;;;;;Gerona;Nave industrial y terreno adjunto;;002302300DG97H0001OS;;;C/ Bruguera 16;;No;;Figueres;;Según certificación adjunta;
SUBASTA SUB-JA-2019-12106;Lote 1;;;No consta;;;17240;No consta;;;;;;;Gerona;PARCELA DE TERRENO SITO EN LLAGOSTERA;;;;;URB MAS FONOLLERONS PARCELA 902;;;;LLAGOSTERA;;;
SUBASTA SUB-JA-2018-104023;Lote 1;;;No;;;17200;No consta;;;;17014000393451;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;6.972,75 €;69.727,53 €;C/ de Torroella, núm. 73, 2n-porta A;;No;139.455,06 €;PALAFRUGELL;;;
SUBASTA SUB-JA-2018-104023;Lote 2;;;No;;;17200;No consta;;;;17014000393475;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;7.401,18 €;74.011,84 €;C/ de Torroella, núm. 73, 2n-porta C;;No;148.023,68 €;PALAFRUGELL;;;
SUBASTA SUB-JA-2018-104023;Lote 3;;;No;;;17200;No consta;;;;17014000393482;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;7.535,77 €;75.357,66 €;C/ de Torroella, núm. 73, 2n-porta D;;No;150.715,31 €;PALAFRUGELL;;;
SUBASTA SUB-JA-2019-12226;Lote 1;;;No consta;;;17834;No consta;;;;;;;Gerona;PIEZA DE TIERRA SOLAR EN EL MUNICIPIO DE PORQUERES  FINCA: 1505  R. PROPIEDAD BANYOLES;;0816712DG8601N0001LD;;;PORQUERES GIRONA;;No;;PORQUERES;;;
SUBASTA SUB-RC-2019-174300010000;Lote 1;;;Sí;Finca 4907;;17410;Sin ocupantes;;;;17018000748044;;;Gerona;URBANA: PIEZA DE TIERRA, bosque, sita en término de Sils, lugar de Vallcanera, parcela número TRES de la Urbanización "Vallcanera Parc" Manzana letra A, polígono 2º, con frente a la calle Llobregat, número tres. Tiene forma rectangular y ocupa una superficie de seiscientos metros cuadrados, equivalentes a quince mil ochocientos ochenta y dos palmos cuadrados. LINDA a la derecha entrando Norte, en línea de treinta metros, con la parcela número cuatro, al fondo Oeste, en línea de veinte metros, con la parcela número uno, y a la izquierda Sur, en línea de treinta metros, con la parcela número dos.;;8331110DG7383S0001TF;;;Llobregat, 3 de la Urbanización Vallcanera;;;;Sils;FINCA REGISTRAL: Número 4907, inscrita al tom 2925, llibre 132 de Sils, folio 117.;NO TIENE;
